PSID,year,DPROVI,DKABUP,y,CAPITAL,MATERIAL,va,l,k,m,i
39738,2012,51,71.0,13.81502,2052.2693,291303.44,12.768415,4.1431346,10.085809,13.171753,7.6267014
39738,2013,51,71.0,14.215054,47198.996,366317.41,13.11376,4.2046928,10.040681,13.477741,10.717673
39738,2014,51,71.0,13.6074,44801.586,169459.53,12.835534,3.7841897,9.2103405,12.982948,0.0
39738,2015,51,71.0,13.824607,0.0,228145.67,13.573851,3.713572,10.819778,12.82454,0.0
39745,2011,51,71.0,14.977094,2230.6912,1538527.1,13.870922,3.9120231,9.700943,14.27802,0.0
39745,2012,51,71.0,14.800806,2388.8052,1315705.5,13.799712,3.871201,9.4132814,14.115117,5.0633163
39745,2013,51,71.0,14.773629,2153.679,1163749.4,13.700979,3.871201,10.021271,14.011756,0.0
39745,2014,51,71.0,14.470581,2017.8572,947435.0,13.727467,3.8918202,10.106428,13.820553,0.0
39745,2015,51,71.0,14.005316,1715.4309,312559.06,13.849187,3.871201,7.2442274,12.799465,0.0
39906,2015,75,2.0,13.293102,11823.647,154455.09,12.943009,4.0253515,7.2093401,12.456178,0.0
40057,2011,12,75.0,14.948007,7726.3633,352832.19,14.398255,3.1354942,9.335474,12.908795,0.0
40057,2012,12,75.0,15.063693,4340.6401,2137813.0,13.770132,3.2188759,9.2385387,14.598741,0.0
40057,2013,12,75.0,15.172451,12625.418,2046729.9,13.910386,3.1780539,9.6614161,14.552025,9.0221748
40057,2014,12,75.0,15.203899,7341.27,1844882.1,14.56806,3.2188759,9.8309164,14.444613,0.0
40057,2015,12,75.0,15.051138,0.0,3105296.0,13.254465,3.2188759,8.8536654,14.957146,0.0
40332,2011,31,74.0,14.756922,15670.771,1394876.9,13.435431,3.0445225,10.364608,14.233561,0.0
